,"Agriculture, forestry and fishing (Million cubic metres)",Households (Million cubic metres),Services (Million cubic metres),All NACE activities plus households (Million cubic metres),Industry and construction (Million cubic metres),Public water supply and self and other supply (Million cubic metres),Urban and other wastewater treatment plants - primary treatment (Number),Urban and other wastewater treatment plants - secondary treatment (Number),Urban and other wastewater treatment plants - tertiary treatment (Number),Number of plants (Number),Losses during transport - total (Million cubic metres),Water abstraction for agriculture - irrigation (Million cubic metres),Water abstraction for public water supply (Million cubic metres),Water abstraction for production of electricity - cooling (Million cubic metres),Total gross abstraction (Million cubic metres),Desalinated water (Million cubic metres),Reused  water (Million cubic metres),Fresh groundwater (Million cubic metres),Non fresh water sources (Million cubic metres),Fresh surface water (Million cubic metres),Total (Million cubic metres),"Generation of wastewater - agriculture, forestry, fishing (Million cubic metres)",Generation of wastewater - industry total (Million cubic metres),Total wastewater discharged - without treatment (Million cubic metres),Total discharges of wastewater treatment plants (urban and other) (Million cubic metres),Generation of wastewater - construction (Million cubic metres),Generation of wastewater - private households (Million cubic metres),Generation of wastewater - mining and quarrying (Million cubic metres),Total discharges to inland waters (Million cubic metres),Generation of wastewater - services (Million cubic metres),Urban and industrial wastewater treatment - total inflow (Million cubic metres),Generation of wastewater - point sources - total (Million cubic metres),Generation of wastewater - manufacturing industries (Million cubic metres),Volume (Million cubic metres),Incoming load BOD5 (Tonnes of O2 per day),Design capacity BOD5 (Tonnes of O2 per day),Effluent BOD5 (Tonnes of O2 per day),Urban and other wastewater treatment plants - primary treatment (Tonnes of O2 per day),Urban and other wastewater treatment plants - secondary treatment (Tonnes of O2 per day),Urban and other wastewater treatment plants - tertiary treatment (Tonnes of O2 per day),Independent wastewater treatment - total (Percentage),Percentage of resident population not connected to urban and other wastewater treatment plants (Percentage),Urban and other wastewater treatment plants - primary treatment (Percentage),Urban and other wastewater treatment plants - secondary treatment (Percentage),Urban and other wastewater treatment plants - tertiary treatment (Percentage),Resident population (Thousand),Urban wastewater collecting system (Percentage),Precipitation (Million cubic metres)
2000,28.62,151.99,53.0,3654.86,3421.24,1461.9419999999998,2.0,13.0,0.0,5.0,,,,,,,,,,,,2.66,117.18,73.39,277.58,0.4,136.79,7.53,391.07,15.02,277.58,271.65,88.79,138.3033333333333,,,,,,,33.0,22.5,0.8,43.7,0.0,3807.91,67.0,
2001,16.66,139.93,46.43,3770.42,3567.4,1508.1680000000001,2.0,14.0,0.0,5.333333333333333,,,,,,,,,,,,2.34,98.82,70.57,250.59,0.32,125.94,7.13,355.35,13.63,250.59,240.72,73.07,124.08916666666669,,,,,,,32.4,22.8,0.8,44.0,0.0,3683.88,67.6,
2002,12.47,128.75,30.65,4603.54,4431.68,1841.4180000000001,3.0,13.0,0.0,5.333333333333333,,,,,,,,,,,,1.55,117.83,54.56,291.05,0.36,115.87,5.05,377.94,9.92,291.05,245.17,95.73,133.84,,,,,,,31.8,22.7,0.9,44.6,0.0,3650.65,68.2,
2003,16.11,140.79,30.38,3913.53,3726.26,1565.4140000000002,3.0,13.0,0.0,5.333333333333333,427.21,97.1,253.265,3483.67,1076.305,0.0,,186.09,0.0,2005.085,427.21,1.37,204.77,65.7,370.48,0.3,126.71,119.66,468.16,11.79,370.48,344.64,67.8,179.3216666666667,,,,,,,31.7,22.5,0.9,44.9,0.0,3634.08,68.3,
2004,14.08,137.61,26.68,3696.74,3518.37,1478.696,4.0,13.0,0.0,5.666666666666667,368.89,71.75,239.615,3327.98,808.278,0.0,0.0,163.82999999999998,0.0,1898.1725000000001,368.89,1.58,194.84,76.99,365.96,0.23,123.85,120.26,472.05,10.13,365.96,330.4,53.72,176.33083333333335,,,,,,,31.6,21.8,1.5,45.1,0.0,3625.54,68.5,
2005,7.21,131.12,27.85,3660.05,3493.88,1464.0220000000002,5.0,13.0,0.0,6.0,340.1,22.215,238.09499999999997,3313.04,794.7139999999999,0.0,0.14,105.62333333333333,0.0,1872.555,340.1,1.77,75.23,66.64,258.38,0.43,118.01,4.28,352.57,10.59,262.53,205.6,50.51,117.21166666666666,26.473333333333333,66.55,3.103333333333333,3.0466666666666664,93.07999999999998,0.0,31.02,21.76,1.76,45.46,,3607.25,68.98,
2006,9.25,137.45,26.46,3702.84,3529.68,1481.136,8.0,12.0,0.0,6.666666666666667,390.38,39.825,249.01999999999998,3355.56,816.476,0.0,0.01,124.07999999999998,0.0,1910.8449999999998,390.38,2.28,79.94,72.47,251.81,0.45,123.7,6.89,354.17,10.31,255.93,216.22,49.54,118.6425,22.74,69.16000000000001,3.266666666666667,3.6966666666666668,91.47000000000001,0.0,30.44,21.57,2.17,45.82,,3588.12,69.56,
2007,13.88,140.98,26.54,2696.97,2515.56,1078.786,7.0,12.0,1.0,6.666666666666667,385.97,41.24,245.82,2344.48,610.7080000000001,0.0,0.01,112.39,0.0,1408.74,385.97,5.1,74.81,68.62,255.91,0.83,126.88,8.48,355.96,11.94,257.85,218.73,52.93,119.83666666666666,23.970000000000002,69.37,3.383333333333333,3.5933333333333333,89.94333333333333,3.186666666666666,30.16,20.36,2.18,46.14,1.17,3566.47,69.84,
2008,15.65,137.31,28.39,2994.05,2812.71,1197.622,7.0,12.0,1.0,6.666666666666667,382.85,38.195,237.14999999999998,2657.59,673.37,0.0,13.93,106.42333333333335,0.0,1560.4825,382.85,5.19,69.72,70.69,264.88,0.35,123.58,8.09,365.72,11.6,268.0,210.09,44.22,120.1775,25.576666666666668,68.83,3.5666666666666664,3.876666666666667,91.39999999999999,2.6966666666666668,29.86,20.32,2.18,46.47,1.16,3544.96,70.14,
2009,14.31,135.91,23.57,2912.63,2738.84,1165.0520000000001,7.0,13.0,1.0,7.0,345.57,33.44,225.395,2631.57,650.1859999999999,0.0,0.13,101.31333333333333,0.0,1524.025,345.57,5.94,58.0,74.57,238.53,0.4,122.21,6.52,343.59,10.49,242.75,196.63,26.44,110.50583333333331,21.776666666666667,69.03666666666668,3.103333333333333,3.4133333333333327,87.76,2.7433333333333336,29.43,20.41,2.18,46.82,1.16,3523.3,70.57,
2010,9.37,133.07,22.75,2862.36,2697.16,1144.942,8.0,11.0,5.0,8.0,313.02,20.425,221.135,2600.56,637.198,0.0,0.12,107.74333333333334,0.0,1486.58,313.02,5.01,62.64,83.31,279.63,0.34,123.3,10.6,393.25,8.8,285.97,199.75,28.1,123.39166666666667,19.126666666666665,72.59666666666668,3.2466666666666666,3.9166666666666665,44.02666666666667,47.026666666666664,29.01,16.97,2.65,14.9,36.46,3499.53,70.99,
2011,11.26,133.48,23.79,2940.6,2772.07,1176.2400000000002,7.0,11.0,7.0,8.333333333333334,311.31,25.965,217.435,2695.31,653.034,0.0,0.07,104.7666666666667,0.0,1533.2275,311.31,5.36,51.63,80.59,266.72,0.23,124.31,4.52,376.56,11.58,269.17,192.88,24.96,117.37583333333333,21.456666666666667,88.67999999999999,2.8833333333333333,1.34,45.49333333333334,66.18666666666667,25.9,13.02,1.9,15.06,44.13,3418.86,74.1,
2012,18.14,135.92,21.44,2678.44,2502.93,1071.374,6.0,11.0,7.0,8.0,329.93,35.720000000000006,216.76,2428.13,602.9580000000001,0.0,0.44,106.24666666666667,0.0,1407.1750000000002,329.93,11.06,40.23,72.57,238.72,0.62,122.95,4.34,340.03,9.71,240.95,183.95,22.93,107.33833333333332,20.233333333333334,76.75333333333333,2.4933333333333336,1.6733333333333336,42.76,55.046666666666674,25.73,12.95,1.89,14.92,44.51,3399.15,74.27,
2013,11.89,129.68,26.49,2512.77,2344.71,1005.1079999999998,6.0,12.0,8.0,8.666666666666666,292.27,17.48,206.26999999999998,2259.22,560.228,0.0,0.08,103.21333333333332,0.0,1299.5349999999999,292.27,5.41,51.6,71.78,263.68,0.39,117.55,5.46,361.09,15.04,269.82,189.61,21.08,114.37583333333333,22.97,74.57666666666667,2.39,1.6466666666666667,43.31333333333333,54.97666666666667,25.15,12.95,1.71,14.86,45.33,3379.9,74.85,
2014,14.4,125.2,20.8,2528.9,2368.4,1011.5400000000002,,,,,242.5,7.25,193.55,2289.2,690.9250000000001,0.0,1.5,102.93333333333332,,1286.05,242.5,,,,,,,,,,,,,,,,,,,,,,,,,,,45026.0
2015,17.0,127.9,21.3,2644.7,2478.5,1057.8799999999999,,,,,259.8,16.349999999999998,195.60000000000002,2387.7,724.3500000000001,0.0,1.3,106.83333333333333,,1346.8000000000002,259.8,,,,,,,,,,,,,,,,,,,,,,,,,,,31038.0
