,"Agriculture, forestry and fishing (Million cubic metres)",Households (Million cubic metres),Services (Million cubic metres),All NACE activities plus households (Million cubic metres),Industry and construction (Million cubic metres),Public water supply and self and other supply (Million cubic metres),Urban and other wastewater treatment plants - primary treatment (Number),Urban and other wastewater treatment plants - secondary treatment (Number),Urban and other wastewater treatment plants - tertiary treatment (Number),Number of plants (Number),Losses during transport - total (Million cubic metres),Water abstraction for agriculture - irrigation (Million cubic metres),Water abstraction for public water supply (Million cubic metres),Water abstraction for production of electricity - cooling (Million cubic metres),Total gross abstraction (Million cubic metres),Reused  water (Million cubic metres),Fresh groundwater (Million cubic metres),Fresh surface water (Million cubic metres),Total (Million cubic metres),"Generation of wastewater - agriculture, forestry, fishing (Tonnes of O2 per day)","Generation of wastewater - agriculture, forestry, fishing (Million cubic metres)","Generation of wastewater - agriculture, forestry, fishing (Tonnes per day)",Generation of wastewater - industry total (Tonnes of O2 per day),Generation of wastewater - industry total (Million cubic metres),Generation of wastewater - industry total (Tonnes per day),Total wastewater discharged - without treatment (Million cubic metres),Total discharges of wastewater treatment plants (urban and other) (Tonnes of O2 per day),Total discharges of wastewater treatment plants (urban and other) (Million cubic metres),Total discharges of wastewater treatment plants (urban and other) (Tonnes per day),Generation of wastewater - construction (Tonnes of O2 per day),Generation of wastewater - construction (Million cubic metres),Generation of wastewater - construction (Tonnes per day),Generation of wastewater - private households (Million cubic metres),Generation of wastewater - mining and quarrying (Tonnes of O2 per day),Generation of wastewater - mining and quarrying (Million cubic metres),Generation of wastewater - mining and quarrying (Tonnes per day),Generation of wastewater - services (Tonnes of O2 per day),Generation of wastewater - services (Million cubic metres),Generation of wastewater - services (Tonnes per day),Generation of wastewater - point sources - total (Tonnes of O2 per day),Generation of wastewater - point sources - total (Million cubic metres),Generation of wastewater - point sources - total (Tonnes per day),Generation of wastewater - manufacturing industries (Tonnes of O2 per day),Generation of wastewater - manufacturing industries (Million cubic metres),Generation of wastewater - manufacturing industries (Tonnes per day),Nitrogen (N-tot ) (Tonnes per day),Biochemical oxygen demand (BOD) (Tonnes of O2 per day),Volume (Million cubic metres),Incoming load BOD5 (Tonnes of O2 per day),Design capacity BOD5 (Tonnes of O2 per day),Effluent BOD5 (Tonnes of O2 per day),Urban and other wastewater treatment plants - primary treatment (Tonnes of O2 per day),Urban and other wastewater treatment plants - secondary treatment (Tonnes of O2 per day),Urban and other wastewater treatment plants - tertiary treatment (Tonnes of O2 per day),Independent wastewater treatment - total (Percentage),Percentage of resident population not connected to urban and other wastewater treatment plants (Percentage),Urban and other wastewater treatment plants - primary treatment (Percentage),Urban and other wastewater treatment plants - secondary treatment (Percentage),Urban and other wastewater treatment plants - tertiary treatment (Percentage),Resident population (Thousand),Urban wastewater collecting system (Percentage),Precipitation (Million cubic metres)
2000,,,,,,,49.0,35.0,7.0,30.333333333333332,,,,,,,,,,2.84,0.48,0.0,45.77,89.08,0.14,,30.31,87.89,5.93,0.0,0.07,0.0,,0.03,7.53,0.0,0.77,3.21,0.01,49.38,92.76,0.16,45.12,77.9,0.14,0.7975,21.777500000000003,44.864999999999995,12.270000000000001,16.88,1.53,8.633333333333335,20.593333333333337,1.4533333333333334,35.7,40.9,7.7,11.9,1.6,,62.1,
2001,,,,,,,45.0,56.0,6.0,35.666666666666664,,,,,,,,,,2.62,0.46,0.0,36.23,90.06,0.12,,29.96,79.78,5.93,0.0,0.07,0.0,,0.05,9.2,0.0,0.83,3.17,0.02,39.68,93.69,0.13,35.77,77.87,0.12,0.7899999999999999,18.1425,44.287499999999994,14.626666666666665,17.46,1.6833333333333333,6.740000000000001,25.863333333333333,1.1666666666666667,35.7,39.5,6.1,15.6,0.9,,62.1,
2002,,,,,,,25.0,84.0,3.0,37.333333333333336,,,,,,,,,,2.74,0.43,0.98,33.3,90.46,1.7,,23.32,85.62,6.11,0.0,0.03,0.0,,0.0,8.3,0.0,1.03,3.59,0.03,37.08,94.49,2.71,32.85,78.76,1.47,1.625,16.29,45.209999999999994,14.186666666666666,18.493333333333332,1.2933333333333332,3.7733333333333334,28.843333333333334,1.3566666666666667,35.7,38.5,3.8,18.7,1.0,,62.1,
2003,,,,,,,27.0,91.0,6.0,41.333333333333336,,,,,,,,,,2.31,0.47,0.82,31.33,148.05,2.22,,29.01,75.76,6.32,0.0,0.06,0.0,,0.0,6.69,0.0,0.98,4.19,0.02,34.62,152.72,3.06,30.76,70.62,1.87,1.7887499999999998,16.12625,57.32,14.776666666666666,18.9,1.4800000000000002,4.466666666666666,29.096666666666664,1.5933333333333335,35.7,36.9,4.2,19.9,1.1,,62.1,
2004,,,,,,,25.0,103.0,10.0,46.0,,,,,,,,,,1.42,0.38,0.64,25.99,178.6,1.97,,28.17,91.43,5.88,0.0,0.07,0.0,,0.0,6.5,0.0,1.4,4.3,0.04,28.81,183.28,2.65,25.6,67.77,1.54,1.5899999999999999,13.92375,66.54124999999999,17.476666666666663,25.086666666666662,1.1966666666666668,3.2600000000000002,33.57999999999999,6.919999999999999,35.7,27.1,3.5,23.2,8.2,,62.1,
2005,,,,,,,10.0,138.0,11.0,53.0,,,,,,,,,,1.22,0.35,0.58,23.94,165.53,1.71,,4.94,107.2,3.64,0.0,0.04,0.0,,0.02,6.01,0.02,1.31,4.54,0.04,26.48,170.42,2.33,23.58,63.9,1.3,1.2025,10.186250000000001,64.74875,18.246666666666666,28.16333333333333,1.4533333333333331,2.7433333333333336,31.77666666666666,13.343333333333332,35.7,25.7,2.2,22.1,12.1,,62.1,
2006,,,,,,,6.0,158.0,11.0,58.333333333333336,,,,,,,,,,1.44,0.35,0.54,20.48,166.98,1.9,,4.68,96.36,4.19,0.0,0.11,0.0,,0.02,5.93,0.02,1.41,5.08,0.02,23.33,172.41,2.46,20.25,55.35,1.46,1.32375,8.951250000000002,62.821250000000006,26.200000000000003,36.18,1.5633333333333335,0.41,47.77666666666667,15.756666666666666,35.7,9.4,0.8,39.6,12.2,,62.1,
2007,,,,,,,5.0,168.0,14.0,62.333333333333336,,,,,,,,,,1.47,0.3,0.64,14.09,167.46,1.78,,3.82,99.82,4.55,0.0,0.08,0.0,,0.01,4.16,0.0,1.46,5.21,0.02,17.01,172.97,2.44,13.83,55.88,1.36,1.34875,6.46125,63.235,28.53,36.663333333333334,1.2733333333333332,0.44333333333333336,48.723333333333336,17.3,35.7,8.3,0.7,40.1,13.0,,62.1,22378.0
2008,1.16,78.55,8.44,88.15,,44.075,2.0,177.0,16.0,65.0,,1.4,72.595,,143.68,,140.78,50.796666666666674,,1.07,0.23,0.42,14.03,155.18,1.48,36.31,3.26,112.11,4.91,0.0,0.05,0.0,63.53,0.03,4.06,0.01,1.5,5.39,0.02,16.6,160.79,1.91,13.33,49.81,1.24,1.2487499999999998,6.2275,58.746,31.393333333333334,37.06333333333333,1.0833333333333333,0.21,49.48,19.849999999999998,35.7,8.1,0.7,38.1,15.1,,62.1,27010.0
2009,1.0,74.93,8.1,84.03,,42.015,1.0,193.0,19.0,71.0,,0.96,71.665,,141.60500000000002,,138.93,49.88,,0.29,0.14,0.07,13.58,141.4,1.5,48.53,3.55,119.29,5.53,0.0,0.09,0.0,56.34,0.0,0.21,0.0,1.33,5.54,0.03,15.19,147.07,1.6,12.84,43.18,1.22,1.24375,5.847499999999999,56.178999999999995,36.156666666666666,41.300000000000004,1.1833333333333333,0.4666666666666666,51.49333333333333,26.679999999999996,35.7,7.1,0.5,38.4,16.1,,62.1,
2010,0.92,74.76,7.48,83.16,,41.58,2.0,190.0,21.0,71.0,40.83,0.66,72.11,,142.84,,140.53,49.833333333333336,40.83,0.47,0.11,0.02,13.11,35.92,1.65,42.87,3.52,131.85,5.2,0.0,0.07,0.0,53.09,0.0,0.17,0.0,1.38,5.75,0.03,14.97,94.87,1.69,12.66,34.2,1.24,1.22875,5.763750000000001,39.89,36.46666666666667,42.1,1.1666666666666665,0.39999999999999997,51.63333333333333,27.7,35.7,8.2,0.5,38.3,15.1,1819.0,62.1,
2011,1.44,73.41,7.41,82.26,,41.129999999999995,2.0,223.0,20.0,81.66666666666667,44.38,2.83,73.58,,146.44,,142.89,52.363333333333344,44.38,0.2,0.11,0.01,12.64,32.75,1.57,42.63,4.9,106.68,5.13,0.0,0.13,0.0,53.0,0.01,0.12,0.0,1.35,6.13,0.04,14.2,91.99,1.62,12.32,31.37,1.14,1.18875,5.702500000000001,36.491,33.26666666666667,43.03333333333333,1.5999999999999999,0.6,49.599999999999994,27.7,35.7,6.6,0.5,38.3,16.7,1822.0,62.1,17214.0
2012,1.71,72.59,11.47,717.048,631.278,286.8192,3.0,222.0,25.0,83.33333333333333,39.34,0.64,70.085,575.77,358.61,,91.40000000000002,290.05999999999995,39.34,0.16,0.1,0.02,11.75,39.71,1.47,13.98,3.88,118.35,4.44,0.0,0.1,0.0,50.17,0.0,1.07,0.0,1.37,6.03,0.03,13.29,96.01,1.52,11.58,37.1,1.18,1.0825,5.25375,36.262,35.4,43.1,1.3,0.43333333333333335,50.23333333333333,29.133333333333336,35.7,6.6,0.5,36.6,18.3,1825.0,62.1,23156.0
2013,1.59,68.77,14.68,820.388,735.348,328.1552,2.0,232.0,29.0,87.66666666666667,38.18,0.72,69.17,681.61,410.69500000000005,,90.21333333333332,343.035,38.18,0.14,0.12,0.02,9.86,42.1,1.35,16.22,3.29,135.25,4.4,0.0,0.12,0.0,56.27,0.0,1.52,0.0,1.24,6.22,0.03,11.24,104.71,1.4,9.71,38.15,1.13,1.04125,4.4350000000000005,40.068000000000005,33.666666666666664,43.06666666666666,1.0999999999999999,0.4666666666666666,43.03333333333333,34.333333333333336,35.7,6.3,0.5,34.2,21.1,1828.0,62.1,25915.0
2014,3.06,67.36,16.67,909.46,822.37,363.784,,,,,39.07,0.515,69.515,769.8,310.38666666666666,21.3,91.48,386.32,39.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29522.0
2015,3.0,68.87,17.38,825.35,736.1,330.14,,,,,39.34,1.01,70.215,685.7,283.4166666666667,22.1,92.83333333333336,344.45000000000005,39.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
